time,Utsira Nord,Sørlige Nordsjø II,Midtfjellet,Havøygavlen
2014-03-15,0.7705416666666666,0.9987499999999999,0.295125,0.45770833333333333
2014-03-16,0.99125,1.0,0.37895833333333334,0.4127083333333333
2014-03-17,0.6746666666666666,0.9932500000000001,0.3657083333333333,0.11541666666666667
2014-03-18,0.10233333333333333,0.7837083333333333,0.015375,0.25283333333333335
2014-03-19,0.990625,0.9901249999999999,0.5064583333333333,0.09779166666666667
2014-03-20,1.0,1.0,0.8884166666666666,0.08125
2014-03-21,0.9969583333333333,0.9999583333333333,0.7504583333333333,0.6067083333333333
2014-03-22,0.9254166666666667,0.9664166666666666,0.70575,0.5276666666666666
2014-03-23,0.7172499999999999,0.6960833333333333,0.29162499999999997,0.5160416666666666
2014-03-24,0.40320833333333334,0.131,0.033374999999999995,0.4146666666666667
2014-03-25,0.33266666666666667,0.37204166666666666,0.02395833333333333,0.5947916666666667
